"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
1,"MLS Listing",NA,"Condo/Co-op","Kew Gardens","NY","11415",0,1,"The Texas",NA,NA,1956,1,NA,NA,"Active","March-11-2018 01:00 PM","March-11-2018 03:00 PM","MLSLI","N","Y","40.7"," -73.8","FALSE"
2,"MLS Listing",NA,"Single Family Residential","Anaheim","CA","92807",7,5.5,"91 - Sycamore Canyon",7400,56628,2000,2,514,NA,"Active","","","CRMLS","N","Y","33.8","-117.8","TRUE"
3,"MLS Listing",NA,"Single Family Residential","Howard Beach","NY","11414",3,1.5,"Howard Beach",NA,2400,1950,15,NA,NA,"Active","","","MLSLI","N","Y","40.7"," -73.8","TRUE"
4,"MLS Listing",NA,"Single Family Residential","Aliso Viejo","CA","92656",4,4.5,"AV - Aliso Viejo",3258,5893,2011,6,457,258,"Active","","","CRMLS","N","Y","33.6","-117.7","TRUE"
5,"MLS Listing",NA,"Single Family Residential","Orlando","FL","32837",3,2,"Orlando",1596,5623,1994,8,166,64,"Active","","","MFRMLS","N","Y","28.4"," -81.4","FALSE"
6,"MLS Listing",NA,"Townhouse","Baltimore","MD","21217",3,1,"Baltimore",1432,NA,1920,131,7,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
7,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,3,"1010 Brickell Ave",1386,NA,2017,96,646,NA,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
8,"MLS Listing",NA,"Vacant Land","Orlando","FL","32833",0,NA,"Orlando",NA,49947,NA,254,NA,NA,"Active","","","MFRMLS","N","Y","28.5"," -81.1","FALSE"
9,"MLS Listing",NA,"Single Family Residential","Staten Island","NY","10314",3,2,"Westerleigh",1520,2600,1960,2,348,NA,"Active","","","SIBORMLS","N","Y","40.6"," -74.1","TRUE"
10,"MLS Listing",NA,"Single Family Residential","Yorba Linda","CA","92886",5,2.5,"85 - Yorba Linda",3593,19250,1983,293,348,NA,"Active","","","CRMLS","N","Y","33.9","-117.8","TRUE"
11,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30310-3758",3,2,"",NA,8712,1947,18,NA,NA,"Active","","","GAMLS","N","Y","33.7"," -84.4","FALSE"
12,"MLS Listing",NA,"Townhouse","Baltimore","MD","21217",2,2,"Bolton Hill",1080,NA,1968,61,277,63,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
13,"MLS Listing",NA,"Condo/Co-op","Brooklyn","NY","11214",1,1.5,"Brooklyn",1052,NA,2018,6,693,NA,"Active","","","BNYMLS","N","Y","40.6"," -74.0","TRUE"
14,"MLS Listing",NA,"Single Family Residential","Fairfax","VA","22032",4,2.5,"Middleridge",1534,10582,1978,6,424,NA,"Active","","","MRIS","N","Y","38.8"," -77.3","TRUE"
15,"MLS Listing",NA,"Vacant Land","Miami","FL","33127",NA,NA,"Wyndwood Park",NA,5000,NA,244,NA,NA,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
16,"MLS Listing",NA,"Single Family Residential","Orlando","FL","32808",3,2,"Orlando",1386,8083,1975,16,144,NA,"Active","","","MFRMLS","N","Y","28.6"," -81.4","FALSE"
17,"MLS Listing",NA,"Townhouse","Miami","FL","33172",3,2,"Spring Lakes Village",1280,NA,1978,232,141,NA,"Active","","","MARMLS","N","Y","25.8"," -80.4","FALSE"
